user_id,email,created_at,country,signup_source,age,device_type
u_00012,user12@example.com,21-09-2025 00:00,NL,web,30,mobile
u_00013,user13@example.com,2024-11-05,IT,partner,45,mobile
u_00705,user705@example.com,2025-08-07 00:00,FR,referral,45,desktop
u_00776,user776@example.com,2024-05-08T00:00:00Z,ES,web,46,desktop
u_00778,user778@example.com,2025/12/12 00:00:00,FR,referral,66,mobile
u_00623,user623@example.com,03/10/2024,NL,web,21,desktop
u_00733,user733@example.com,2025-10-02,FR,mobile,44,mobile
u_00651,user651@example.com,2024-10-01 00:00,UK,referral,31,desktop
u_00177,user177@example.com,2025-05-20 00:00,UK,web,47,mobile
u_00504,user504@example.com,18-01-2026 00:00,UK,web,39,tablet
u_00648,user648@example.com,05-04-2025 00:00,UK,web,39,mobile
u_00061,user61@example.com,2025-12-24,IT,mobile,21,desktop
u_00710,user710@example.com,2025-11-08T00:00:00Z,UK,mobile,63,mobile
u_00541,user541@example.com,2025-07-25,NL,web,33,mobile
u_00777,user777@example.com,2025-12-12 00:00,UK,mobile,48,mobile
u_00357,user357@example.com,2025-10-13 00:00,DE,web,66,mobile
u_00208,user208@example.com,2024/01/21 00:00:00,IT,web,61,desktop
u_00738,user738@example.com,04-02-2026 00:00,FR,mobile,61,desktop
u_00547,user547@example.com,2025-01-26,UK,web,43,desktop
u_00194,user194@example.com,2024-02-08T00:00:00Z,ES,web,46,mobile
u_00359,user359@example.com,28/11/2024,UK,web,25,mobile
u_00389,user389@example.com,05/05/2024,FR,web,60,tablet
u_00396,user396@example.com,19-10-2025 00:00,UK,web,39,mobile
u_00303,user303@example.com,2026-01-22 00:00,UK,mobile,30,mobile
u_00496,user496@example.com,2024/11/03 00:00:00,UK,web,59,desktop
u_00395,user395@example.com,21/12/2025,FR,referral,37,desktop
u_00459,user459@example.com,2024-11-05 00:00,DE,web,52,desktop
u_00757,user757@example.com,2024-09-19,FR,referral,23,desktop
u_00287,user287@example.com,26/01/2024,FR,mobile,61,desktop
u_00628,user628@example.com,2024/10/23 00:00:00,FR,web,25,desktop
u_00179,user179@example.com,12/09/2024,ES,web,66,desktop
u_00468,user468@example.com,03-10-2025 00:00,NL,partner,50,tablet
u_00349,user349@example.com,2024-03-11,UK,web,37,desktop
u_00152,user152@example.com,2025-10-14T00:00:00Z,ES,web,20,desktop
u_00048,user48@example.com,23-02-2024 00:00,FR,mobile,23,mobile
u_00282,user282@example.com,29-01-2024 00:00,FR,referral,44,mobile
u_00323,user323@example.com,23/10/2024,FR,referral,49,desktop
u_00295,user295@example.com,2025-01-26,ES,mobile,41,desktop
u_00029,user29@example.com,13/04/2025,FR,referral,65,desktop
u_00709,user709@example.com,2025-05-22,UK,web,47,mobile
u_00327,user327@example.com,2024-08-13 00:00,DE,web,30,desktop
u_00259,user259@example.com,2025-07-04,FR,mobile,31,desktop
u_00481,user481@example.com,2024-04-10,UK,web,55,desktop
u_00118,user118@example.com,2024/08/10 00:00:00,IT,web,32,mobile
u_00455,user455@example.com,19/05/2024,FR,web,35,desktop
u_00366,user366@example.com,17-01-2026 00:00,UK,referral,21,desktop
